title,artist_display,date_display,creation_year_start,creation_year_end,medium,classification,artist_id,location,description,short_description,dimension,artwork_id,full_image_url
Landscape along the Seine with the Institut de France and the Pont des Arts,"Alfred Sisley (French, 1839-1899)",c. 1875,1870.0,1880.0,Oil on canvas,Painting,ARTIC-36707,France,,,53.3 × 62.2 cm (21 × 24 1/2 in.),ARTIC-2bcffdac-951e-569f-8f05-f4c8e4228302,https://www.artic.edu/iiif/2/2bcffdac-951e-569f-8f05-f4c8e4228302/full/max/0/default.jpg
"The Salt Maidens, Matsukaze with Yukihira's Coat","Chôbunsai Eishi (Japanese, 1756-1829)","Edo period, c. 1800",1775.0,1805.0,Hanging scroll; Ink and colors on silk,Painting,ARTIC-52271,Japan,,,82.2 × 30.2 cm (32 3/8 × 11 15/16 in.),ARTIC-e98e92ca-d0e2-a2ab-0c84-a56e02c20584,https://www.artic.edu/iiif/2/e98e92ca-d0e2-a2ab-0c84-a56e02c20584/full/max/0/default.jpg
Study of a Cow,"Emile van Marcke de Lummen (French, 1827-1890)",1870/90,1870.0,1890.0,Oil on canvas,Painting,ARTIC-37114,France,,,49.5 × 71.1 cm (19 1/2 × 28 in.),ARTIC-c66cff23-22a1-e440-b390-ef4e68facd6a,https://www.artic.edu/iiif/2/c66cff23-22a1-e440-b390-ef4e68facd6a/full/max/0/default.jpg
Christ on the Cross,Flemish,1575/1625,1575.0,1625.0,Oil on panel,Painting,,Flanders,,,40.1 × 32.3 cm (16 × 12 7/8 in.),ARTIC-474d2283-78fc-1dbe-1d45-f67908f69033,https://www.artic.edu/iiif/2/474d2283-78fc-1dbe-1d45-f67908f69033/full/max/0/default.jpg
"The Infant Krishna Spirited Away by Vasudev, from a copy of the Dispersed Bhagavat Purana","India (Delhi-Agra region, possibly Mathura)",c. 1520–1530,1520.0,1555.0,Opaque watercolor on paper,Painting,,India,,,17.4 × 23.3 cm (6 13/16 × 9 3/16 in.),ARTIC-956d1d9a-c18e-16d2-2552-8087c681384f,https://www.artic.edu/iiif/2/956d1d9a-c18e-16d2-2552-8087c681384f/full/max/0/default.jpg
Saint Hymer in Solitude,"Jean Restout, after (French, 1692-1768)",c. 1735,1725.0,1745.0,Oil on canvas,Painting,ARTIC-40998,France,,,59.4 × 75.1 cm (23 3/8 × 29 13/16 in.),ARTIC-ee702210-de7a-8e2a-fdae-50464ba7d2be,https://www.artic.edu/iiif/2/ee702210-de7a-8e2a-fdae-50464ba7d2be/full/max/0/default.jpg
"Winter: Women Enjoying Writing, Reading, and Plum Blossoms","Artist unknown (Chinese, 19th century)",Qing dynasty (1644–1911),1701.0,1800.0,Hanging scroll; color and gold on paper,Painting,,China,,,"H. 55 1/2""  W. 14 5/8""",ARTIC-527a2995-17c8-c239-5f02-2d49c76f5170,https://www.artic.edu/iiif/2/527a2995-17c8-c239-5f02-2d49c76f5170/full/max/0/default.jpg
Capture of the Tripoli by the Enterprise,"Thomas Birch (American, born England, 1779-1851)",1806–12,1806.0,1812.0,Oil on canvas,Painting,ARTIC-2437,Philadelphia,"<p>At the turn of the 19th century, conflict arose between the United States of America and the North African Barbary State of Tripoli. President Thomas Jefferson refused to continue to pay tribute or ransom to Tripoli to prevent the pirating of American merchant ships sailing in the Mediterranean Sea. Jefferson dispatched the American ship <em>Enterprise</em> to the Tripolitan waters as a sign of resistance just as Tripoli increased its tribute demands and declared war against the United States. Thomas Birch, an early specialist in maritime painting, captured the battle between the <em>Enterprise</em> and a Tripolitan cruiser in the Mediterranean’s dark, violent waters. The break in the clouds sheds light on this conflict and illuminates Birch’s fine details and precise rendering of these ships.</p>
",,45.1 × 65.1 cm (17 3/4 × 25 5/8 in.),ARTIC-2b219d21-c128-ea2e-cb0b-69d2e9e98e5e,https://www.artic.edu/iiif/2/2b219d21-c128-ea2e-cb0b-69d2e9e98e5e/full/max/0/default.jpg
Icon with the Virgin and Child,Cretan,c. 1500,1495.0,1505.0,Tempera on panel,Painting,,Kríti,,,38 × 30 cm (14 15/16 × 11 13/16 in.),ARTIC-a8383044-2d0b-e592-efde-0b72bfe6e460,https://www.artic.edu/iiif/2/a8383044-2d0b-e592-efde-0b72bfe6e460/full/max/0/default.jpg
Maria Sheldon Scammon,"Anders Leonard Zorn (Swedish, 1860-1920)",1895,1895.0,1895.0,Oil on canvas,Painting,ARTIC-37424,Sweden,,,81.3 × 65.5 cm (32 × 25 3/4 in.),ARTIC-8b49881c-2e3d-be54-bf70-c131d60c1c93,https://www.artic.edu/iiif/2/8b49881c-2e3d-be54-bf70-c131d60c1c93/full/max/0/default.jpg
Portrait of a Woman,Flemish (Antwerp?),1544,1544.0,1544.0,Oil on panel,Painting,ARTIC-16577,Belgium,,,40.5 × 30.5 cm (16 × 12 in.); Painted surface: 39.5 × 29.3 cm (15 9/16 × 11 1/2 in.),ARTIC-1bdba183-8dfc-4e43-e8e2-70ad0e0f1647,https://www.artic.edu/iiif/2/1bdba183-8dfc-4e43-e8e2-70ad0e0f1647/full/max/0/default.jpg
Fisherman's Cottage,"Harald Sohlberg (Norwegian, 1869-1935)",1906,1906.0,1906.0,Oil on canvas,Painting,ARTIC-58246,Norway,,,109 × 94 cm (43 × 37 in.),ARTIC-2b99326e-ba24-a0d4-1be3-d32c89143d36,https://www.artic.edu/iiif/2/2b99326e-ba24-a0d4-1be3-d32c89143d36/full/max/0/default.jpg
Daniel Hubbard,"John Singleton Copley (American, 1738–1815)",1764,1764.0,1764.0,Oil on canvas,Painting,ARTIC-34028,England,"<p>Between 1753 and 1774, John Singleton Copley painted 350 portraits, primarily of Bostonians. He was largely self-taught, his only formal training from his stepfather Peter Pelham, an English artist who specialized in mezzotint engraving. Pelham encouraged Copley to produce his own mezzotints and to learn to draw by copying English prints. By the time <em>Daniel Hubbard</em> (1764) and <em><a href=""https://www.artic.edu/artworks/59787/mrs-daniel-hubbard-mary-greene"">Mrs. Daniel Hubbard (Mary Greene)</a></em> (c. 1764; 1947.28) were produced, the artist had established a popular portrait style featuring individualized faces and luxurious fabrics. A decade later, Copley left colonial Massachusetts for England to further his career and simultaneously escape the strong political divides among family, friends, and patrons amid the impending Revolution.</p>
",,127.2 × 100.8 cm (50 1/8 × 39 11/16 in.),ARTIC-65451ace-5cb3-377b-403a-9b16531a81bc,https://www.artic.edu/iiif/2/65451ace-5cb3-377b-403a-9b16531a81bc/full/max/0/default.jpg
Rushing Red Lodges Passed through the Line,"Frederic Remington (American, 1861–1909)",c. 1900,1900.0,1900.0,Oil on canvas,Painting,ARTIC-21570,New York,,,69.9 × 101.6 cm (27 1/8 × 40 in.),ARTIC-29a102da-4838-432b-7373-a3c7f5679d75,https://www.artic.edu/iiif/2/29a102da-4838-432b-7373-a3c7f5679d75/full/max/0/default.jpg
"The Red Room, Etretat","Félix Edouard Vallotton (French (born Switzerland),1865-1925)",1899,1899.0,1899.0,Oil on artist's board,Painting,ARTIC-26998,France,,,49.2 × 51.3 cm (19 3/8 × 20 3/8 in.),ARTIC-e4df4d4a-4cfb-5be8-3728-0d0bf1b44751,https://www.artic.edu/iiif/2/e4df4d4a-4cfb-5be8-3728-0d0bf1b44751/full/max/0/default.jpg
Portrait of Muhammed Azim,"India (Rajasthan, Kishangarh)",18th century,1601.0,1700.0,Opaque watercolor and gold on paper,Painting,,India,,,Image: 22 × 12.5 cm (8 5/8 × 4 7/8 in.); Border: 23.1 × 13.5 cm (9 1/8 × 5 5/16 in.); Paper: 31.2 × 20.4 cm (12 1/4 × 8 in.),ARTIC-de5336b5-1593-979d-ba10-5afc919f6f8c,https://www.artic.edu/iiif/2/de5336b5-1593-979d-ba10-5afc919f6f8c/full/max/0/default.jpg
Odalisque,"Jules Joseph Lefebvre (French, 1836-1912)",1874,1874.0,1874.0,Oil on canvas,Painting,ARTIC-31776,France,"<p>A luminous nude woman reclines in a dimly lit interior filled with textiles, fruits, and luxury goods evocative of the Arab world. The painting’s setting and title suggest that she is a courtesan in a harem. For 19th-century European artists, depicting the nude female form was a fundamental component of academic training and a benchmark of artistic excellence. The imagined harem setting—a space historically forbidden to men—provided narrative context for the nude and appealed to the sexual and colonialist fantasies of European audiences.</p>
",,102.4 × 200.7 cm (41 5/16 × 79 in.),ARTIC-488e2088-06a5-6811-78b4-56d736a25019,https://www.artic.edu/iiif/2/488e2088-06a5-6811-78b4-56d736a25019/full/max/0/default.jpg
The Rock of Hautepierre,"Gustave Courbet (French, 1819-1877)",c. 1869,1864.0,1874.0,Oil on canvas,Painting,ARTIC-34049,France,,,80.2 × 100.3 cm (31 1/2 × 39 1/2 in.),ARTIC-e0f47937-a1ee-76b4-6505-35a33119a634,https://www.artic.edu/iiif/2/e0f47937-a1ee-76b4-6505-35a33119a634/full/max/0/default.jpg
Madame François Buron,"Jacques-Louis David (French, 1748-1825)",1769,1769.0,1769.0,Oil on canvas,Painting,ARTIC-34147,France,"<p>Following his father’s death in 1757, the young Jacques-Louis David was raised in the house of his uncle, architect François Buron, and his wife, Marie-Josèphe Fromont. Madame Buron was particularly supportive of David’s desire to become a painter, in opposition to her husband’s wish that he study architecture. In this intimate early portrait, David presented his aunt looking up momentarily from her reading to acknowledge the viewer with a warm reserve. Her glance suggests an affectionate bond between the painter and sitter and displays the ambitious young artist’s awareness of contemporary conventions for depicting middle-class women of sensibility.</p>
",,66.3 × 55.5 cm (26 1/8 × 21 7/8 in.),ARTIC-77f1c8e3-16c6-1147-f4aa-4cfc8bd3eb8b,https://www.artic.edu/iiif/2/77f1c8e3-16c6-1147-f4aa-4cfc8bd3eb8b/full/max/0/default.jpg
Study of a Girl's Head and Shoulders,"James McNeill Whistler (American, 1834–1903)",1896–97,1896.0,1897.0,Oil on panel,Painting,ARTIC-37279,United States,"<p>In addition to large-scale portraits, James McNeill Whistler created small-scale likenesses, often on wood panel, as in this painting of a young sitter. A well-known beauty, Olga Caracciolo lived in Dieppe, France, likely where this work was executed, and later married the photographer Adolf de Meyer. Rather than a swift, abbreviated study for a larger composition, Whistler considered a work such as this to be a satisfying aesthetic whole. Indeed, small paintings serve as invitations for an intimate viewing experience and contemplation of the artist’s harmonies of color and form.</p>
",,15.5 × 9.5 cm (6 1/8 × 3 3/4 in.),ARTIC-f59015ec-07d0-ebbf-6d57-647af5ef4a41,https://www.artic.edu/iiif/2/f59015ec-07d0-ebbf-6d57-647af5ef4a41/full/max/0/default.jpg
"Landscape with Sheep, Picardy","Harry Thompson (British, died 1901)",late 19th century,1850.0,1900.0,Oil on canvas,Painting,ARTIC-36950,England,,,82.2 × 117.5 cm (32 3/8 × 46 1/4 in.),ARTIC-6b80849d-e3ef-ee82-5432-12d5d62cdb55,https://www.artic.edu/iiif/2/6b80849d-e3ef-ee82-5432-12d5d62cdb55/full/max/0/default.jpg
The Banks of the Marne in Winter,"Camille Pissarro (French, 1830-1903)",1866,1866.0,1866.0,Oil on canvas,Painting,ARTIC-36211,France,"<p>Exhibited at the Salon of 1866, this landscape was made by Camille Pissarro in deliberate opposition to the pastoral scenes of his mentor and unofficial teacher <a href=""https://www.artic.edu/artists/34035"">Camille Corot</a>. Instead of using various brushes to create a beautifully crafted and refined surface, Pissarro loaded his paint on heavily, often with a palette knife, in emulation of Gustave Courbet. The subject, an empty rural winter landscape, is resolutely unpicturesque and purposefully devoid of the great oaks and ancient ruins of traditional Salon landscapes.</p>
",,91.8 × 150.2 cm (36 1/8 × 59 1/8 in.),ARTIC-3d950ecc-73f4-c28a-f216-0940b23fa5e8,https://www.artic.edu/iiif/2/3d950ecc-73f4-c28a-f216-0940b23fa5e8/full/max/0/default.jpg
Equestrienne (At the Cirque Fernando),"Henri de Toulouse-Lautrec (French, 1864-1901)",1887/88,1882.0,1892.0,Oil on canvas,Painting,ARTIC-40869,France,"<p>This work, set at a circus, captures the tense moment in which a female trick rider prepares to stand up on her horse and leap through a paper hoop held by a clown. The horse gathers speed, spurred on by the whip of famous ringmaster Monsieur Loyal. Henri de Toulouse-Lautrec may have based the garishly made-up rider, dressed in a tutu of gauze and sequins, on Suzanne Valadon, a former circus performer, model, and artist with whom he had a nearly three-year relationship. The rider seems to snarl at Monsieur Loyal, who glares back at her. Toulouse-Lautrec’s setting is the same circus in Montmartre depicted in Pierre-Auguste Renoir’s portrait of the <a href=""https://www.artic.edu/artworks/81558/acrobats-at-the-cirque-fernando-francisca-and-angelina-wartenberg"">Wartenberg sisters</a>.</p>
",,100.3 × 161.3 cm (39 1/2 × 63 1/2 in.),ARTIC-65db9e21-83c3-1cc6-7240-1e1996d87f52,https://www.artic.edu/iiif/2/65db9e21-83c3-1cc6-7240-1e1996d87f52/full/max/0/default.jpg
Rebirth of the Nun Anyo,Artist Unknown (Japanese),early 18th century,1701.0,1733.0,"Pair six-panel screens; ink, colors, and gold on paper",Painting,,Japan,"<p>&lt;BIG&gt;小さな邸宅で、老齢の尼僧が臨終を迎え、静かに座り、阿弥陀如来と、讃嘆の菩薩たちが、金雲にのって来迎するのを見つめている。阿弥陀如来が、臨終時に人の魂を迎え、西方の極楽浄土へ連れていくという浄土信仰があらわされている。仏尊の周囲には、金字で南無阿弥陀仏の名号が繰り返し記されている。この他、浄土経典の来迎場面の一節や、画中の尼僧像を、『往生要集』を著した源信（画中の僧侶）の妹の安養尼</p>
<p>(953–1034)とする書き込みもある。</p>
<p>この屏風は、表具裂に「珂憶」の字が見えることから、珂憶円信（かおくえんしん）（～1707）により、臨終を予期して注文されたと考えられている。珂憶は、江戸時代の浄土宗の指導的な役割を果たした僧侶で、徳川家の帰依を受けてアドバイザーになった。&lt;/BIG&gt;</p>
<p>An aged nun at the moment of her death sits in a small house calmly watching Amida Buddha and his retinue of bodhisattvas, dancing and playing music, approach on golden clouds. It is the belief of the Pure Land Sect (Jodo) of Buddhism that the Amida Buddha receives the souls of the recently departed and carries them back to the Western Paradise. Repeated in gold around the figures is the mantra <em>Namu Amida Butsu</em> (Hail the Amida Buddha!). By intoning this phrase over and over again, a soul could be assured of salvation. The other texts written in gold contains passages from Pure Land sutras describing the remarkable scene, and another inscription identifies the nun as Anyo (953–1034), the younger sister of the monk Genshin (also pictured), author of the landmark tract <em>Ojo yoshu</em> (The Essentials of Pure Land Rebirth).</p>
<p>Judging from the characters reading “Kaoku” on the mounting fabric, it is believed that this pair of screens was commissioned by Kaoku Enshin (d. 1707), a leading monk of the Pure Land Sect and an advisor to the Tokugawa clan, perhaps in anticipation of his own death.</p>
",,151.5 × 373 cm (59 5/8 × 147 in.),ARTIC-a6cd6a81-d236-2841-6e32-2845a062ba23,https://www.artic.edu/iiif/2/a6cd6a81-d236-2841-6e32-2845a062ba23/full/max/0/default.jpg
Portrait of a Man,"Corneille de Lyon (French, 1500/1510-1575)",1550/60,1550.0,1560.0,Oil on panel,Painting,ARTIC-52988,France,"<p>Dutch-born painter Corneille de Lyon employed a limited selection of colors to great effect in this small painting. The textured, green background accentuates the subject’s velvety black outfit, lace collar, pale skin, and bristly beard. Corneille specialized in this stylized type of small, finely painted precious portraiture, working primarily for the court and bourgeois elite of 16th-century Lyon, France, where he lived most of his life. The sitter’s exaggerated proportions direct the viewer’s attention to his head and thus to his quiet yet self-assured expression. His confident posture and expensive clothes, along with the exceptional reputation of his portraitist, speak to his high social status.</p>
",,24 × 18.5 cm (9 7/16 × 7 5/16 in.); Painted surface: 22.7 × 17.6 cm (8 15/16 × 6 15/16 in.),ARTIC-5d52a808-7eb4-8651-f7c7-4e3ffaa06389,https://www.artic.edu/iiif/2/5d52a808-7eb4-8651-f7c7-4e3ffaa06389/full/max/0/default.jpg
The Presentation in the Temple,"Stefano Pozzi (Italian, c. 1699-1768)",n.d.,1707.0,1768.0,Oil on canvas,Painting,ARTIC-36264,Italy,,,118 × 90 cm (46 1/2 × 35 1/2 in.),ARTIC-749250e6-883e-d22b-4cf4-621e22b5178d,https://www.artic.edu/iiif/2/749250e6-883e-d22b-4cf4-621e22b5178d/full/max/0/default.jpg
Nymphs Leaving the Bath,"Jean-Baptiste-Camille Corot (French, 1796-1875)",1843,1843.0,1843.0,Oil on canvas,Painting,ARTIC-34035,France,,,82 × 69 cm (32 1/4 × 27 1/8 in.),ARTIC-acad549c-db73-4b1f-8cbd-2f5b99e000ab,https://www.artic.edu/iiif/2/acad549c-db73-4b1f-8cbd-2f5b99e000ab/full/max/0/default.jpg
"The Departure of the Boats, Étretat","Claude Monet (French, 1840-1926)",1885,1885.0,1885.0,Oil on canvas,Painting,ARTIC-35809,France,"<p>Forced indoors by inclement fall weather, Claude Monet painted <a href=""https://www.artic.edu/artworks/59927/boats-on-the-beach-at-etretat""><em>Boats on the Beach at Étretat</em></a> and <em>The Departure of the Boats, Étretat</em> while looking out the window of his room at the Hôtel Blanquet. The two form a pair that share a palette, subject, and vantage point. In one of his daily letters to his companion and future wife, Alice Hoschedé, dated November 24, 1885, Monet described first <em>Boats on the Beach</em> and then <em>Departure of the Boats</em>: “In the afternoon, I worked in my room on my <em>caloges</em> [retired fishing boats covered with tarred planks and used for storage] in the rain, then I attempted to do, always through the window, a picture of the boats departing.”</p>
<p>Monet centered each composition on the boats, combining pastel blues, pinks, purples, and greens to render wet surfaces. The brightly colored hulls of beached crafts lend relative scale to the structures in <em>Boats on the Beach</em>, and the groups of figures at the water’s edge, composed of quick, gestural strokes, register human activity in <em>Departure of the Boats</em>. Monet purposefully arrived well after tourist season, so it is unclear whether he observed the fashionably dressed women at left or rather inserted them as a foil to the local fishermen at right.</p>
",,73.5 × 93.5 cm (28 15/16 × 36 13/16 in.),ARTIC-6ca224d1-c3dc-a223-a127-0492301a2ebb,https://www.artic.edu/iiif/2/6ca224d1-c3dc-a223-a127-0492301a2ebb/full/max/0/default.jpg
Fruits of the Midi,"Pierre-Auguste Renoir (French, 1841-1919)",1881,1881.0,1881.0,Oil on canvas,Painting,ARTIC-36351,France,,,51 × 65 cm (20 1/16 × 25 5/8 in.),ARTIC-3e005f8a-d37f-871b-15bb-89756f1ed2e9,https://www.artic.edu/iiif/2/3e005f8a-d37f-871b-15bb-89756f1ed2e9/full/max/0/default.jpg
Head of a Woman,French,c. 1810,1805.0,1815.0,Oil on canvas,Painting,,France,,,46.5 × 38.3 cm (18 3/16 × 15 1/16 in.),ARTIC-a5b07250-68d3-5c93-d818-5fcefbd35308,https://www.artic.edu/iiif/2/a5b07250-68d3-5c93-d818-5fcefbd35308/full/max/0/default.jpg
"Ragini Kakubha, Page from a Jaipur Ragamala Set","India (Rajasthan, Jaipur)",c. 1750-1770,1745.0,1770.0,Opaque watercolor and gold on paper,Painting,,Rajasthan,,,Image: 23 × 11.4 cm (9 1/16 × 4 1/2 in.); Outermost Border: 24 × 15.8 cm (9 7/16 × 6 3/16 in.); Paper: 30.6 × 22.5 cm (12 1/16 × 8 7/8 in.),ARTIC-4237947a-8908-0a35-9f20-bc803f549f36,https://www.artic.edu/iiif/2/4237947a-8908-0a35-9f20-bc803f549f36/full/max/0/default.jpg
Allegory of Peace and War,"Pompeo Girolamo Batoni (Italian, 1708-1787)",1776,1776.0,1776.0,Oil on canvas,Painting,ARTIC-33548,Italy,"<p>Pompeo Batoni’s grand portraits and numerous religious and historical commissions established him as the leading Roman painter of his day. He painted <em>Peace and War</em> on his own initiative, without a commission, attracting critical praise for the work’s graceful invention. It combines elements of Rococo softness and eroticism with the newly fashionable Neoclassical style. War, represented by the god Mars, is restrained by a personification of peace, who bears an olive branch.</p>
",,136 × 99 cm (53 1/2 × 39 in.),ARTIC-92ad2a28-eac9-e358-6e3c-1c1cf39efd91,https://www.artic.edu/iiif/2/92ad2a28-eac9-e358-6e3c-1c1cf39efd91/full/max/0/default.jpg
Saint Barbara,"Jean Bellegambe (French, c. 1470-1535/36)",c. 1520,1515.0,1525.0,Oil on panel,Painting,ARTIC-30553,Belgium,"<p>Jean Bellegambe worked in Douai, in a part of northern France that was once part of the county of Flanders. <a href=""https://www.artic.edu/collection?artist_ids=Jean+Bellegambe"">These panels</a> are the wings of a triptych, a three-paneled folding altarpiece, whose center (now in the Musées Royaux des Beaux-Arts, Brussels) shows the Virgin and Child enthroned under an elaborate architectural canopy.  The two elegant saints are identifiable by their attributes: for <a href=""https://www.artic.edu/artworks/100346"">Catherine</a>, the wheel upon which she was tortured and the sword with which she was martyred; and for Barbara, the tower where her father locked her up to keep her safe from suitors. <a href=""http://www.artic.edu/aic/collections/artwork/100346"">Saint Catherine</a> also holds a ring, which the Christ Child in the Brussels panel reaches to grasp, thus indicating that their mystical union was the subject of the triptych.  The tops of the two wings have been rounded off to mask their original function as moveable shutters to the left and right of the center panel.  The backs and fronts of the wings were also separated; the backs of the wings, showing the Annunciation when the triptych was closed, are now in the Walters Art Museum, Baltimore.</p>
",,32 3/8 × 11 1/16 in. (82.3 × 28.2 cm; painted surface: 32 1/8 × 10 3/4 in. (81.7 × 27.3 cm),ARTIC-5f374b65-1f25-6034-af57-385d80ed302e,https://www.artic.edu/iiif/2/5f374b65-1f25-6034-af57-385d80ed302e/full/max/0/default.jpg
At the Moulin Rouge,"Henri de Toulouse-Lautrec (French, 1864-1901)",1892/95,1892.0,1895.0,Oil on canvas,Painting,ARTIC-40869,France,"<p>Henri de Toulouse-Lautrec has been associated with the Moulin Rouge since its opening in 1889: the owner of the legendary nightclub bought the artist’s <a href=""https://www.artic.edu/artworks/16146/equestrienne-at-the-cirque-fernando""><em>Equestrienne</em></a> as a decoration for the foyer. Toulouse-Lautrec populated <em>At the Moulin Rouge</em> with portraits of the legendary nightclub’s regulars, including himself—the diminutive figure in the center background—accompanied by his cousin, physician Gabriel Tapié de Céleyran. Dancer La Goulue arranges her hair behind the table where <a href=""https://www.artic.edu/collection?q=Avril&artist_ids=Henri%20de%20Toulouse-Lautrec&material_ids=paper%20%28fiber%20product%29"">Jane Avril</a>, another famous performer, socializes. Singer May Milton peers out from the right edge of the painting, her face harshly lit and acid green. At some point, the artist or his dealer cut down the canvas to remove Milton, perhaps because her strange appearance made the work hard to sell. Whatever the reason, by 1914 the cut section had been reattached to the painting.</p>
","Toulouse-Lautrec made a career depicting colorful personalities from Parisian cabarets and dance halls like the Moulin Rouge. He populated this painting with that nightclub's regulars, including himself—the diminutive figure in the center background. Dancer La Goulue arranges her hair behind the table where Jane Avril, another performer, socializes. Singer May Milton peers out from the painting's right edge, her face harshly lit and acid green.",123 × 141 cm (48 7/16 × 55 1/2 in.),ARTIC-defb4004-b500-218d-3d9b-9a02423f097d,https://www.artic.edu/iiif/2/defb4004-b500-218d-3d9b-9a02423f097d/full/max/0/default.jpg
On the Bank of the Seine at Portejoie,"Charles François Daubigny (French, 1817-1878)",c. 1865,1860.0,1870.0,Oil on panel,Painting,ARTIC-40516,France,,,38.1 × 67 cm (15 × 26 3/8 in.),ARTIC-70d375a0-25bd-7fe1-c586-0e8919aaf395,https://www.artic.edu/iiif/2/70d375a0-25bd-7fe1-c586-0e8919aaf395/full/max/0/default.jpg
Taihu Rock,"Rushan (Chinese, active mid-late 19th century)","Qing dnasty (1644–1911), c. 1860",1838.0,1899.0,Folding fan (mounted); finger painting in ink on paper,Painting,ARTIC-102190,China,,,23.5 × 51.5 cm (9 5/16 × 20 5/16 in.),ARTIC-d9670476-7d0b-b6d7-2266-ed6f02ab0dc2,https://www.artic.edu/iiif/2/d9670476-7d0b-b6d7-2266-ed6f02ab0dc2/full/max/0/default.jpg
Portrait of a girl with a dog,Attributed to Alessandro Longhi,c.1740,1735.0,1745.0,Oil on canvas.,Painting,ARTIC-15545,Rome,,,64.8 × 49.5 cm (25 1/2 × 19 1/2 in.),ARTIC-6010f431-9cce-39c8-e53b-ebaf9906ccdb,https://www.artic.edu/iiif/2/6010f431-9cce-39c8-e53b-ebaf9906ccdb/full/max/0/default.jpg
Irises,"Claude Monet (French, 1840-1926)",1914/17,1914.0,1926.0,Oil on canvas,Painting,ARTIC-35809,France,"<p>Approximately six and a half feet square, <em>Irises</em> is one of a series of large paintings Claude Monet undertook during World War I experimenting with familiar motifs on an ever-expanding scale. Lacking a discernible horizon or clear sense of depth, the viewer is both on top of and submerged in this encrusted and disorienting surface, suggestive of water, on which various vegetal and floral forms float.</p>
<p>Together with other related canvases, this work remained in the artist’s Giverny studio long after his death in 1926 and was only rediscovered in the 1950s, having suffered localized damage by shrapnel from shells during World War II. In 1956 the Art Institute’s pioneering curator of modern art, Katherine Kuh, bought this painting from Katia Granoff's gallery in Paris. Kuh recognized a formal affinity between Monet’s late experimental painting and the public’s growing interest in large-scale, abstract works like those by Jackson Pollock, whose <a href=""https://www.artic.edu/artworks/83642/greyed-rainbow""><em>Greyed Rainbow</em></a> entered the Art Institute’s collection in 1955.</p>
",,200 × 200.7 cm (78 3/4 × 79 in.),ARTIC-1f925e43-ff81-5ad7-da75-b28ea651c09f,https://www.artic.edu/iiif/2/1f925e43-ff81-5ad7-da75-b28ea651c09f/full/max/0/default.jpg
A Poem from the Shin Kokinshu with Design of Shinobugusa (Moss Fern),"Hon'ami Kōetsu (Japanese, 1558-1637)",1605-10,1605.0,1610.0,"Fragment of a handscroll mounted as a hanging scroll; ink, gold, silver-colored pigment, and mica on paper",Painting,ARTIC-70975,,"<p>Hon'ami Koetsu is regarded in Japan as an eminent calligrapher of his time, and the text of the poem he wrote here showcases his skill with alternating between thickly inked and thinly drawn characters. Together with his collaborator, Tawaraya Sotatsu, he specialized in artistic forms that evoke the elegant pastimes of courtly life, including poetry. The pair was particularly successful with a newly prosperous class of townspeople in 17th-century Kyoto who were interested in emulating their aristocratic predecessors. Tawaraya and his studio produced these <em>shinobugusa</em> (moss fern) designs by using real foliage to print with silver and gold ink rhythmically across the paper.</p>
<p>The poem comes from the 1205 anthology <em>Shin Kokinshu</em> (New Collection of Poems Ancient and Modern) and is attributed to Fujiwara Tadahira (880–949), also known as Sadanobu. Within the publication, the verses are preceded by a note that reads, “Sending a spray of plum flowers to his brother Nakahira on the occasion of his being appointed to the Minister of the Left.” The poem itself gives the impression that the poet’s brother has achieved a rank after a long period of effort. The references to plum blossoms set the scene in late winter or early spring. They could also be an allusion to Sugawara Michizane, a great scholar who is regarded as the god of learning and whose symbol is the plum.</p>
<table>
<tbody>
<tr>
<td>遅くとく </td>
<td>Osoku toku</td>
<td>Whether early or late,</td>
</tr>
<tr>
<td>つひに咲きぬる</td>
<td>tsuhi ni sakinuru </td>
<td>All have blossomed at last</td>
</tr>
<tr>
<td>梅の花</td>
<td>ume no hana</td>
<td>Flowering plum trees.</td>
</tr>
<tr>
<td>たが植ゑ置きし </td>
<td>ta ga uheokishi </td>
<td>Who was it sowed the seeds that</td>
</tr>
<tr>
<td>種にかあるらむ </td>
<td>tane ni ka aru ran </td>
<td>still continue to flourish?</td>
</tr>
</tbody>
</table>
",,33.6 × 44.5 cm (13 1/4 × 17 1/2 in.); With mounting: 121.6 × 57.5 cm (47 7/8 × 22 5/8 in.); Including lower roller: H.: 62.9 cm (24 3/4 in.),ARTIC-bb1a0453-7921-1edb-3128-5d8bed7d5a9f,https://www.artic.edu/iiif/2/bb1a0453-7921-1edb-3128-5d8bed7d5a9f/full/max/0/default.jpg
Still Life with Flowers,"Odilon Redon (French, 1840-1916)",1905,1905.0,1905.0,Oil on canvas,Painting,ARTIC-36336,France,,,92.7 × 65.5 cm (36 1/2 × 25 3/4 in.),ARTIC-bdb9f780-83be-dd12-191d-54a77c5444ab,https://www.artic.edu/iiif/2/bdb9f780-83be-dd12-191d-54a77c5444ab/full/max/0/default.jpg
Interior: A Sultana taking Coffee in the Harem,"Giovanni Antonio Guardi (Italian, 1699-1760)",1742/43,1742.0,1743.0,Oil on canvas,Painting,ARTIC-34762,Italy,,,46 × 63 cm (18 1/16 × 24 3/4 in.),ARTIC-ca8ba7cf-670b-8db8-3ceb-9bbdb595b096,https://www.artic.edu/iiif/2/ca8ba7cf-670b-8db8-3ceb-9bbdb595b096/full/max/0/default.jpg
